packageA,packageB,CODE-DEPENDENCY,CO-DEPENDENCY,CATEGORY
org.odpi.openmetadata.commonservices.repositoryhandler,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.types,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.commonservices.ffdc,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.client,org.odpi.openmetadata.frameworks.openmetadata.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.builders,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector.accumulators,org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector.executors,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.beans,org.odpi.openmetadata.conformance.tests.repository.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.commonservices.ffdc.rest,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.ffdc.exception,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.omrstopic,org.odpi.openmetadata.repositoryservices.events,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.actormanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.governance,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.resource,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.archivestore,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.events,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.client,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.repositoryservices.rest.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.ffdc.exception,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.search,org.odpi.openmetadata.frameworkservices.omf.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.samples.archiveutilities.cloudinformationmodel,org.odpi.openmetadata.samples.archiveutilities.cloudinformationmodel.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.enums,org.odpi.openmetadata.opentypes,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository,org.odpi.openmetadata.conformance.tests.repository.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.repositoryservices.ffdc.exception,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.jacquard.productcatalog,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.commonservices.repositoryhandler,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.assetmanager.fvt.dataassets,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.assetmaker.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices,org.odpi.openmetadata.frameworks.connectors.properties.beans,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworks.openmetadata.ffdc,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.assetowner.fvt.dataassets,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.search,org.odpi.openmetadata.samples.governanceactions.clinicaltrials,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.contentpacks.core.base,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.actormanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository.types,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.contentpacks.core,org.odpi.openmetadata.frameworks.openmetadata.refdata,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.opengovernance,org.odpi.openmetadata.samples.governanceactions.clinicaltrials,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.datadesigner.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.properties,org.odpi.openmetadata.frameworkservices.omf.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.connectionmaker.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.contentpacks.core,org.odpi.openmetadata.frameworks.openmetadata.controls,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.feedbackmanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.adapters.connectors.jacquard.productcatalog,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors,org.odpi.openmetadata.frameworks.openmetadata.refdata,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.multitenant,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.assetmaker.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.collectionmanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.solutionarchitect.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.properties,org.odpi.openmetadata.samples.governanceactions.clinicaltrials,HIGH,LOW,CAN BE INCONSISTENT
