source_package,target_package,WDS,DD,NWDS,FINAL_SCORE
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.ffdc.exception,1887,4,1887.0,3037.009340763147
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,1376,8,1376.0,3023.381018414638
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,1519,6,1519.0,2955.8375164150207
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties,1326,8,1326.0,2913.5197895478273
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworks.openmetadata.types,2568,2,2568.0,2821.236357299706
org.odpi.openmetadata.repositoryservices.connectors.omrstopic,org.odpi.openmetadata.repositoryservices.events,1444,6,1444.0,2809.894255235872
org.odpi.openmetadata.viewservices.actormanager.server,org.odpi.openmetadata.commonservices.ffdc.rest,1286,7,1286.0,2674.161822600269
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.governance,1623,4,1623.0,2612.117731880545
org.odpi.openmetadata.adapters.connectors.apacheatlas.resource,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,1319,6,1319.0,2566.6554866039583
org.odpi.openmetadata.samples.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.archivestore,1415,5,1415.0,2535.3396489576976
org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,org.odpi.openmetadata.repositoryservices.events,1215,7,1215.0,2526.5214731410006
org.odpi.openmetadata.frameworks.openmetadata.client,org.odpi.openmetadata.frameworks.openmetadata.search,1163,7,1163.0,2418.390512973649
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.commonservices.ffdc,1315,5,1315.0,2356.163702034892
org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,org.odpi.openmetadata.repositoryservices.ffdc.exception,1206,6,1206.0,2346.767639760708
org.odpi.openmetadata.frameworkservices.omf.server,org.odpi.openmetadata.frameworks.openmetadata.search,1198,6,1198.0,2331.200358568265
org.odpi.openmetadata.samples.archiveutilities.cloudinformationmodel,org.odpi.openmetadata.samples.archiveutilities.cloudinformationmodel.properties,1121,7,1121.0,2331.053968223096
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.frameworks.openmetadata.enums,1395,4,1395.0,2245.16588784557
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.tests.repository,1384,4,1384.0,2227.4620708087946
