source_package,target_package,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.properties,0,8,8,84,0,0,0,0,0,1,4,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.control,4,0,0,0,0,0,0,0,0,24,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.integration.connectors,2,0,0,2,0,0,0,2,0,93,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.serveroperations.properties,1,0,0,0,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.connectors.properties.beans,3,2,0,21,0,0,0,0,0,2,1,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.connectors.ffdc,1,0,0,1,0,2,0,0,1,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.connectors.controls,1,0,0,0,0,0,0,0,0,4,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,0,21,0,93,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.integration.context,0,0,0,11,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.events,2,0,1,4,0,0,1,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.ffdc,3,0,0,0,0,34,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.enums,1,0,0,0,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.controls,1,0,0,0,0,0,0,0,0,40,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.properties,0,0,0,36,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,3,19,14,106,0,0,0,0,0,8,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.adminservices.configuration.registration,1,0,0,0,0,0,0,0,0,36,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.adminservices.configuration.properties,1,4,1,5,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.connectors,1,5,0,8,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.auditlog,0,0,0,5,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.properties.assets,1,0,0,4,0,0,0,0,0,1,1,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.ffdc.exception,1,0,0,74,0,92,0,0,74,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.ffdc,6,0,0,0,0,0,0,0,0,290,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,2,0,0,2,0,0,2,0,0,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,3,2,0,8,0,0,0,1,2,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,4,74,97,278,22,0,0,0,2,67,5,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.search,2,6,3,17,1,0,0,0,2,6,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,7,88,140,472,39,0,0,0,20,146,22,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.frameworks.openmetadata.types,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties,3,0,7,10,0,0,0,0,0,32,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.frameworks.auditlog.requestid,1,1,0,8,0,0,0,0,1,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.frameworks.auditlog,3,1,2,26,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.frameworks.openmetadata.ffdc,5,0,1,48,0,42,0,0,47,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,1,5,0,7,0,0,0,0,0,5,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.events,0,3,1,67,0,0,0,1,0,0,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.eventmanagement,1,1,1,2,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,1,1,1,14,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adminservices.configuration.properties,2,2,1,35,5,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adminservices.classifier,1,1,0,2,0,0,0,0,1,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.properties,0,8,6,63,4,0,0,0,8,9,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.commonservices.ffdc.rest,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adminservices.configuration.registration,1,1,1,1,0,0,0,0,0,6,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adminservices.ffdc.exception,1,0,0,0,0,6,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.adminservices.client,2,2,0,10,0,0,0,0,2,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.serveroperations.client,1,1,0,8,0,0,0,0,1,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.serveroperations.properties,3,3,0,7,2,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.repositoryservices.clients,3,4,0,11,0,0,0,0,4,2,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.frameworks.openmetadata.ffdc,3,0,0,3,0,141,0,0,3,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.frameworks.auditlog,1,1,1,0,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.frameworks.connectors,1,0,1,0,0,0,0,0,0,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.metadatasecurity.properties,2,0,2,0,2,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.frameworks.connectors.properties.beans,4,1,3,12,1,0,0,0,0,0,1,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.repositoryservices.connectors.stores.archivestore.properties,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.governanceservers.enginehostservices.client,1,2,0,5,0,0,0,0,2,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.governanceservers.integrationdaemonservices.properties,2,2,0,7,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.governanceservers.integrationdaemonservices.client,1,2,0,14,0,0,0,0,2,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.platformservices.client,1,1,0,31,0,0,0,0,1,1,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.repositoryservices.ffdc.exception,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.extractor,org.odpi.openmetadata.repositoryservices.properties,2,1,2,2,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.viewservices.communitymatters.server.spring,org.odpi.openmetadata.commonservices.ffdc.rest,0,0,7,0,7,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.viewservices.communitymatters.server.spring,org.odpi.openmetadata.viewservices.communitymatters.server,1,1,0,8,0,0,0,0,1,0,0,0,0,0
